Solver,X,Y
"MostYellowLetter::YellowLetterSolver",4,382
"MostYellowLetter::YellowLetterSolver",7,26
"MostYellowLetter::YellowLetterSolver",8,12
"MostYellowLetter::YellowLetterSolver",9,9
"MostYellowLetter::YellowLetterSolver",11,3
"MostYellowLetter::YellowLetterSolver",10,4
"MostYellowLetter::YellowLetterSolver",3,244
"MostYellowLetter::YellowLetterSolver",5,207
"MostYellowLetter::YellowLetterSolver",6,83
"MostYellowLetter::YellowLetterSolver",2,30
"MostGreenLetter::GreenLetterSolver",2,18
"MostGreenLetter::GreenLetterSolver",5,241
"MostGreenLetter::GreenLetterSolver",9,7
"MostGreenLetter::GreenLetterSolver",8,25
"MostGreenLetter::GreenLetterSolver",11,3
"MostGreenLetter::GreenLetterSolver",3,170
"MostGreenLetter::GreenLetterSolver",6,110
"MostGreenLetter::GreenLetterSolver",7,53
"MostGreenLetter::GreenLetterSolver",10,2
"MostGreenLetter::GreenLetterSolver",4,371
"GreenPlusYellow::GreenPlusYellowSolver",5,186
"GreenPlusYellow::GreenPlusYellowSolver",8,19
"GreenPlusYellow::GreenPlusYellowSolver",2,34
"GreenPlusYellow::GreenPlusYellowSolver",4,381
"GreenPlusYellow::GreenPlusYellowSolver",6,75
"GreenPlusYellow::GreenPlusYellowSolver",10,3
"GreenPlusYellow::GreenPlusYellowSolver",7,25
"GreenPlusYellow::GreenPlusYellowSolver",9,8
"GreenPlusYellow::GreenPlusYellowSolver",3,269
